Продолжаем со следующим блоком предложений:

1, There, 14, 1
2, is, 13, 1
3, a, 6, 1
4, cat, 10, 1
5, on, 12, 1
6, the, 6, 1
7, roof, 10, 1

1, There, 14, 2
2, are, 13, 2
3, flowers, 10, 2
4, in, 12, 2
5, the, 6, 2
6, garden, 10, 2

1, There, 14, 3
2, is, 13, 3
3, a, 6, 3
4, book, 10, 3
5, on, 12, 3
6, the, 6, 3
7, table, 10, 3

1, There, 14, 4
2, is, 13, 4
3, a, 6, 4
4, car, 10, 4
5, in, 12, 4
6, the, 6, 4
7, garage, 10, 4

1, There, 14, 5
2, are, 13, 5
3, two, 11, 5
4, apples, 10, 5
5, in, 12, 5
6, the, 6, 5
7, basket, 10, 5

1, There, 14, 6
2, is, 13, 6
3, a, 6, 6
4, dog, 10, 6
5, in, 12, 6
6, the, 6, 6
7, yard, 10, 6

1, There, 14, 7
2, are, 13, 7
3, many, 1, 7
4, students, 10, 7
5, in, 12, 7
6, the, 6, 7
7, classroom, 10, 7

1, There, 14, 8
2, is, 13, 8
3, a, 6, 8
4, new, 1, 8
5, movie, 10, 8
6, on, 12, 8
7, TV, 10, 8

1, There, 14, 9
2, are, 13, 9
3, chairs, 10, 9
4, in, 12, 9
5, the, 6, 9
6, hall, 10, 9

1, There, 14, 10
2, is, 13, 10
3, water, 10, 10
4, in, 12, 10
5, the, 6, 10
6, bottle, 10, 10

1, There, 14, 11
2, are, 13, 11
3, children, 10, 11
4, playing, 16, 11
5, in, 12, 11
6, the, 6, 11
7, park, 10, 11

1, There, 14, 12
2, is, 13, 12
3, a, 6, 12
4, computer, 10, 12
5, on, 12, 12
6, the, 6, 12
7, desk, 10, 12

1, There, 14, 13
2, are, 13, 13
3, books, 10, 13
4, on, 12, 13
5, the, 6, 13
6, shelf, 10, 13

1, There, 14, 14
2, is, 13, 14
3, a, 6, 14
4, bird, 10, 14
5, in, 12, 14
6, the, 6, 14
7, tree, 10, 14

1, There, 14, 15
2, are, 13, 15
3, cookies, 10, 15
4, in, 12, 15
5, the, 6, 15
6, jar, 10, 15

1, There, 14, 16
2, was, 13, 16
3, a, 6, 16
4, dog, 10, 16
5, in, 12, 16
6, the, 6, 16
7, yard, 10, 16

1, There, 14, 17
2, were, 13, 17
3, birds, 10, 17
4, in, 12, 17
5, the, 6, 17
6, tree, 10, 17

1, There, 14, 18
2, was, 13, 18
3, a, 6, 18
4, letter, 10, 18
5, on, 12, 18
6, the, 6, 18
7, desk, 10, 18

1, There, 14, 19
2, was, 13, 19
3, a, 6, 19
4, storm, 10, 19
5, last, 1, 19
6, night, 10, 19

1, There, 14, 20
2, were, 13, 20
3, many, 1, 20
4, people, 10, 20
5, at, 12, 20
6, the, 6, 20
7, concert, 10, 20

1, There, 14, 21
2, was, 13, 21
3, a, 6, 21
4, book, 10, 21
5, on, 12, 21
6, the, 6, 21
7, table, 10, 21

1, There, 14, 22
2, were, 13, 22
3, apples, 10, 22
4, in, 12, 22
5, the, 6, 22
6, basket, 10, 22

1, There, 14, 23
2, was, 13, 23
3, a, 6, 23
4, car, 10, 23
5, in, 12, 23
6, the, 6, 23
7, garage, 10, 23

1, There, 14, 24
2, was, 13, 24
3, a, 6, 24
4, cat, 10, 24
5, on, 12, 24
6, the, 6, 24
7, roof, 10, 24

1, There, 14, 25
2, were, 13, 25
3, flowers, 10, 25
4, in, 12, 25
5, the, 6, 25
6, garden, 10, 25

1, There, 14, 26
2, was, 13, 26
3, water, 10, 26
4, in, 12, 26
5, the, 6, 26
6, bottle, 10, 26

1, There, 14, 27
2, were, 13, 27
3, children, 10, 27
4, playing, 16, 27
5, outside, 2, 27

1, There, 14, 28
2, was, 13, 28
3, a, 6, 28
4, computer, 10, 28
5, on, 12, 28
6, the, 6, 28
7, desk, 10, 28

1, There, 14, 29
2, were, 13, 29
3, books, 10, 29
4, on, 12, 29
5, the, 6, 29
6, shelf, 10, 29

1, There, 14, 30
2, was, 13, 30
3, a, 6, 30
4, bird, 10, 30
5, in, 12, 30
6, the, 6, 30
7, cage, 10, 30

1, There, 14, 31
2, will, 9, 31
3, be, 13, 31
4, a, 6, 31
5, meeting, 10, 31
6, tomorrow, 2, 31

1, There, 14, 32
2, will, 9, 32
3, be, 13, 32
4, rain, 10, 32
5, next, 1, 32
6, week, 10, 32

1, There, 14, 33
2, will, 9, 33
3, be, 13, 33
4, a, 6, 33
5, party, 10, 33
6, at, 12, 33
7, her, 14, 33
8, house, 10, 33

1, There, 14, 34
2, will, 9, 34
3, be, 13, 34
4, new, 1, 34
5, books, 10, 34
6, in, 12, 34
7, the, 6, 34
8, library, 10, 34

1, There, 14, 35
2, will, 9, 35
3, be, 13, 35
4, a, 6, 35
5, test, 10, 35
6, on, 12, 35
7, Friday, 10, 35

1, There, 14, 36
2, will, 9, 36
3, be, 13, 36
4, a, 6, 36
5, concert, 10, 36
6, next, 1, 36
7, month, 10, 36

1, There, 14, 37
2, will, 9, 37
3, be, 13, 37
4, a, 6, 37
5, new, 1, 37
6, movie, 10, 37
7, in, 12, 37
8, theaters, 10, 37

1, There, 14, 38
2, will, 9, 38
3, be, 13, 38
4, students, 10, 38
5, in, 12, 38
6, the, 6, 38
7, classroom, 10, 38

1, There, 14, 39
2, will, 9, 39
3, be, 13, 39
4, a, 6, 39
5, car, 10, 39
6, in, 12, 39
7, the, 6, 39
8, garage, 10, 39

1, There, 14, 40
2, will, 9, 40
3, be, 13, 40
4, a, 6, 40
5, cat, 10, 40
6, on, 12, 40
7, the, 6, 40
8, roof, 10, 40

1, There, 14, 41
2, will, 9, 41
3, be, 13, 41
4, flowers, 10, 41
5, in, 12, 41
6, the, 6, 41
7, garden, 10, 41

1, There, 14, 42
2, will, 9, 42
3, be, 13, 42
4, a, 6, 42
5, computer, 10, 42
6, on, 12, 42
7, the, 6, 42
8, desk, 10, 42

1, There, 14, 43
2, will, 9, 43
3, be, 13, 43
4, books, 10, 43
5, on, 12, 43
6, the, 6, 43
7, shelf, 10, 43

1, There, 14, 44
2, will, 9, 44
3, be, 13, 44
4, water, 10, 44
5, in, 12, 44
6, the, 6, 44
7, bottle, 10, 44

1, There, 14, 45
2, will, 9, 45
3, be, 13, 45
4, children, 10, 45
5, playing, 16, 45
6, in, 12, 45
7, the, 6, 45
8, park, 10, 45

1, There, 14, 46
2, is, 13, 46
3, not, 8, 46
4, a, 6, 46
5, cat, 10, 46
6, on, 12, 46
7, the, 6, 46
8, roof, 10, 46

1, There, 14, 47
2, are, 13, 47
3, not, 8, 47
4, flowers, 10, 47
5, in, 12, 47
6, the, 6, 47
7, garden, 10, 47

1, There, 14, 48
2, is, 13, 48
3, not, 8, 48
4, a, 6, 48
5, book, 10, 48
6, on, 12, 48
7, the, 6, 48
8, table, 10, 48

1, There, 14, 49
2, is, 13, 49
3, not, 8, 49
4, a, 6, 49
5, car, 10, 49
6, in, 12, 49
7, the, 6, 49
8, garage, 10, 49

1, There, 14, 50
2, are, 13, 50
3, not, 8, 50
4, two, 11, 50
5, apples, 10, 50
6, in, 12, 50
7, the, 6, 50
8, basket, 10, 50

1, There, 14, 51
2, is, 13, 51
3, not, 8, 51
4, a, 6, 51
5, dog, 10, 51
6, in, 12, 51
7, the, 6, 51
8, yard, 10, 51

1, There, 14, 52
2, are, 13, 52
3, not, 8, 52
4, many, 1, 52
5, students, 10, 52
6, in, 12, 52
7, the, 6, 52
8, classroom, 10, 52

1, There, 14, 53
2, is, 13, 53
3, not, 8, 53
4, a, 6, 53
5, new, 1, 53
6, movie, 10, 53
7, on, 12, 53
8, TV, 10, 53

1, There, 14, 54
2, are, 13, 54
3, not, 8, 54
4, chairs, 10, 54
5, in, 12, 54
6, the, 6, 54
7, hall, 10, 54

1, There, 14, 55
2, is, 13, 55
3, not, 8, 55
4, water, 10, 55
5, in, 12, 55
6, the, 6, 55
7, bottle, 10, 55

1, There, 14, 56
2, are, 13, 56
3, not, 8, 56
4, children, 10, 56
5, playing, 16, 56
6, in, 12, 56
7, the, 6, 56
8, park, 10, 56

1, There, 14, 57
2, is, 13, 57
3, not, 8, 57
4, a, 6, 57
5, computer, 10, 57
6, on, 12, 57
7, the, 6, 57
8, desk, 10, 57

1, There, 14, 58
2, are, 13, 58
3, not, 8, 58
4, books, 10, 58
5, on, 12, 58
6, the, 6, 58
7, shelf, 10, 58

1, There, 14, 59
2, is, 13, 59
3, not, 8, 59
4, a, 6, 59
5, bird, 10, 59
6, in, 12, 59
7, the, 6, 59
8, tree, 10, 59

1, There, 14, 60
2, are, 13, 60
3, not, 8, 60
4, cookies, 10, 60
5, in, 12, 60
6, the, 6, 60
7, jar, 10, 60

1, There, 14, 61
2, was, 13, 61
3, not, 8, 61
4, a, 6, 61
5, dog, 10, 61
6, in, 12, 61
7, the, 6, 61
8, yard, 10, 61

1, There, 14, 62
2, were, 13, 62
3, not, 8, 62
4, birds, 10, 62
5, in, 12, 62
6, the, 6, 62
7, tree, 10, 62

1, There, 14, 63
2, was, 13, 63
3, not, 8, 63
4, a, 6, 63
5, letter, 10, 63
6, on, 12, 63
7, the, 6, 63
8, desk, 10, 63

1, There, 14, 64
2, was, 13, 64
3, not, 8, 64
4, a, 6, 64
5, storm, 10, 64
6, last, 1, 64
7, night, 10, 64

1, There, 14, 65
2, were, 13, 65
3, not, 8, 65
4, many, 1, 65
5, people, 10, 65
6, at, 12, 65
7, the, 6, 65
8, concert, 10, 65

1, There, 14, 66
2, was, 13, 66
3, not, 8, 66
4, a, 6, 66
5, book, 10, 66
6, on, 12, 66
7, the, 6, 66
8, table, 10, 66

1, There, 14, 67
2, were, 13, 67
3, not, 8, 67
4, apples, 10, 67
5, in, 12, 67
6, the, 6, 67
7, basket, 10, 67

1, There, 14, 68
2, was, 13, 68
3, not, 8, 68
4, a, 6, 68
5, car, 10, 68
6, in, 12, 68
7, the, 6, 68
8, garage, 10, 68

1, There, 14, 69
2, was, 13, 69
3, not, 8, 69
4, a, 6, 69
5, cat, 10, 69
6, on, 12, 69
7, the, 6, 69
8, roof, 10, 69

1, There, 14, 70
2, were, 13, 70
3, not, 8, 70
4, flowers, 10, 70
5, in, 12, 70
6, the, 6, 70
7, garden, 10, 70

1, There, 14, 71
2, was, 13, 71
3, not, 8, 71
4, water, 10, 71
5, in, 12, 71
6, the, 6, 71
7, bottle, 10, 71

1, There, 14, 72
2, were, 13, 72
3, not, 8, 72
4, children, 10, 72
5, playing, 16, 72
6, outside, 2, 72

1, There, 14, 73
2, was, 13, 73
3, not, 8, 73
4, a, 6, 73
5, computer, 10, 73
6, on, 12, 73
7, the, 6, 73
8, desk, 10, 73

1, There, 14, 74
2, were, 13, 74
3, not, 8, 74
4, books, 10, 74
5, on, 12, 74
6, the, 6, 74
7, shelf, 10, 74

1, There, 14, 75
2, was, 13, 75
3, not, 8, 75
4, a, 6, 75
5, bird, 10, 75
6, in, 12, 75
7, the, 6, 75
8, cage, 10, 75

1, There, 14, 76
2, will, 9, 76
3, not, 8, 76
4, be, 13, 76
5, a, 6, 76
6, meeting, 10, 76
7, tomorrow, 2, 76

1, There, 14, 77
2, will, 9, 77
3, not, 8, 77
4, be, 13, 77
5, rain, 10, 77
6, next, 1, 77
7, week, 10, 77

1, There, 14, 78
2, will, 9, 78
3, not, 8, 78
4, be, 13, 78
5, a, 6, 78
6, party, 10, 78
7, at, 12, 78
8, her, 14, 78
9, house, 10, 78

1, There, 14, 79
2, will, 9, 79
3, not, 8, 79
4, be, 13, 79
5, new, 1, 79
6, books, 10, 79
7, in, 12, 79
8, the, 6, 79
9, library, 10, 79

1, There, 14, 80
2, will, 9, 80
3, not, 8, 80
4, be, 13, 80
5, a, 6, 80
6, test, 10, 80
7, on, 12, 80
8, Friday, 10, 80

1, There, 14, 81
2, will, 9, 81
3, not, 8, 81
4, be, 13, 81
5, a, 6, 81
6, concert, 10, 81
7, next, 1, 81
8, month, 10, 81

1, There, 14, 82
2, will, 9, 82
3, not, 8, 82
4, be, 13, 82
5, a, 6, 82
6, new, 1, 82
7, movie, 10, 82
8, in, 12, 82
9, theaters, 10, 82

1, There, 14, 83
2, will, 9, 83
3, not, 8, 83
4, be, 13, 83
5, students, 10, 83
6, in, 12, 83
7, the, 6, 83
8, classroom, 10, 83

1, There, 14, 84
2, will, 9, 84
3, not, 8, 84
4, be, 13, 84
5, a, 6, 84
6, car, 10, 84
7, in, 12, 84
8, the, 6, 84
9, garage, 10, 84

1, There, 14, 85
2, will, 9, 85
3, not, 8, 85
4, be, 13, 85
5, a, 6, 85
6, cat, 10, 85
7, on, 12, 85
8, the, 6, 85
9, roof, 10, 85

1, There, 14, 86
2, will, 9, 86
3, not, 8, 86
4, be, 13, 86
5, flowers, 10, 86
6, in, 12, 86
7, the, 6, 86
8, garden, 10, 86

1, There, 14, 87
2, will, 9, 87
3, not, 8, 87
4, be, 13, 87
5, a, 6, 87
6, computer, 10, 87
7, on, 12, 87
8, the, 6, 87
9, desk, 10, 87

1, There, 14, 88
2, will, 9, 88
3, not, 8, 88
4, be, 13, 88
5, books, 10, 88
6, on, 12, 88
7, the, 6, 88
8, shelf, 10, 88

1, There, 14, 89
2, will, 9, 89
3, not, 8, 89
4, be, 13, 89
5, water, 10, 89
6, in, 12, 89
7, the, 6, 89
8, bottle, 10, 89

1, There, 14, 90
2, will, 9, 90
3, not, 8, 90
4, be, 13, 90
5, children, 10, 90
6, playing, 16, 90
7, in, 12, 90
8, the, 6, 90
9, park, 10, 90

1, Is, 13, 91
2, there, 14, 91
3, a, 6, 91
4, cat, 10, 91
5, on, 12, 91
6, the, 6, 91
7, roof, 10, 91

1, Are, 13, 92
2, there, 14, 92
3, flowers, 10, 92
4, in, 12, 92
5, the, 6, 92
6, garden, 10, 92

1, Is, 13, 93
2, there, 14, 93
3, a, 6, 93
4, book, 10, 93
5, on, 12, 93
6, the, 6, 93
7, table, 10, 93

1, Is, 13, 94
2, there, 14, 94
3, a, 6, 94
4, car, 10, 94
5, in, 12, 94
6, the, 6, 94
7, garage, 10, 94

1, Are, 13, 95
2, there, 14, 95
3, two, 11, 95
4, apples, 10, 95
5, in, 12, 95
6, the, 6, 95
7, basket, 10, 95

1, Is, 13, 96
2, there, 14, 96
3, a, 6, 96
4, dog, 10, 96
5, in, 12, 96
6, the, 6, 96
7, yard, 10, 96

1, Are, 13, 97
2, there, 14, 97
3, many, 1, 97
4, students, 10, 97
5, in, 12, 97
6, the, 6, 97
7, classroom, 10, 97

1, Is, 13, 98
2, there, 14, 98
3, a, 6, 98
4, new, 1, 98
5, movie, 10, 98
6, on, 12, 98
7, TV, 10, 98

1, Are, 13, 99
